id,estructura,codigo_material,descripcion,cantidad,unidad,precio_unitario,subtotal
74,ESTRUCTURA FV-MT,1006264,"Arandela Presion Acero Galv P/Torn 5/8""",1.0,UND,6.0,6.0
75,ESTRUCTURA FV-MT,1006594,Pletina Fij Ang Guardacab P/Tirante 5/8,1.0,UND,190.0,190.0
76,ESTRUCTURA FV-MT,1006696,Grapa Conexion Doble S/Tor,1.0,UND,72.0,72.0
77,ESTRUCTURA FV-MT,1007014,Retencion Term Preformado Cable Ac 3/8,2.0,UND,338.25,676.5
78,ESTRUCTURA FV-MT,1007057,"Tornillo Hex Pas Ac Galv 5/8"" X 12""",1.0,UND,93.5,93.5
79,ESTRUCTURA FV-MT,1007082,"Tubo Abierto Señalizacióny Prot 2"" X 8""",1.0,UND,335.4,335.4
80,ESTRUCTURA HA-105,1005963,"Cable Acero Galvanizadop/Retenida 3/8""",12.0,MTS,75.11,901.32
81,ESTRUCTURA HA-105,1006250,"Aran Plan Cua Ac Galv 21/4""X21/4"" D 5/8""",1.0,UND,27.5,27.5
82,ESTRUCTURA HA-105,1006264,"Arandela Presion Acero Galv P/Torn 5/8""",1.0,UND,6.0,6.0
83,ESTRUCTURA HA-105,1006696,Grapa Conexion Doble S/Tor,1.0,UND,72.0,72.0
84,ESTRUCTURA HA-105,1007014,Retencion Term Preformado Cable Ac 3/8,2.0,UND,338.25,676.5
85,ESTRUCTURA HA-105,1007057,"Tornillo Hex Pas Ac Galv 5/8"" X 12""",1.0,UND,93.5,93.5
86,ESTRUCTURA HA-105,1007096,"Tuerca Guarda Cabo Recto P/Tor 5/8""",2.0,UND,195.5,391.0
87,ESTRUCTURA,1005473,Transf Tp 1Ø Csp 7.2Kv 25 Kva,1.0,UND,53000.0,53000.0
88,ESTRUCTURA,1006250,"Aran Plan Cua Ac Galv 21/4""X21/4"" D 5/8""",2.0,UND,27.5,55.0
89,ESTRUCTURA,1006264,"Arandela Presion Acero Galv P/Torn 5/8""",2.0,UND,6.0,12.0
90,ESTRUCTURA,1006654,Fusible Expulsión 3.5 A Tipo D,1.0,UND,157.0,157.0
91,ESTRUCTURA,1006696,Grapa Conexion Doble S/Tor,1.0,UND,72.0,72.0
92,ESTRUCTURA,1007057,"Tornillo Hex Pas Ac Galv 5/8"" X 12""",2.0,UND,93.5,187.0
93,ESTRUCTURA,1007094,"Tuerca Cab Hex Ac Galv P/Tornillo 5/8""",1.0,UND,15.0,15.0
94,ESTRUCTURA AL-BT,1006236,Aislador Porc.Tipo Carrete Ansi 53-2,1.0,UND,32.4,32.4
95,ESTRUCTURA AL-BT,1006250,"Aran Plan Cua Ac Galv 21/4""X21/4"" D 5/8""",1.0,UND,27.5,27.5
96,ESTRUCTURA AL-BT,1006264,"Arandela Presion Acero Galv P/Torn 5/8""",2.0,UND,6.0,12.0
97,ESTRUCTURA AL-BT,1007290,"Tornillo P/Aislador T/Carrete 5/8"" X 18""",1.0,UND,234.0,234.0
98,ESTRUCTURA F1-BT,1006250,"Aran Plan Cua Ac Galv 21/4""X21/4"" D 5/8""",2.0,UND,27.5,55.0
99,ESTRUCTURA F1-BT,1006264,"Arandela Presion Acero Galv P/Torn 5/8""",3.0,UND,6.0,18.0
100,ESTRUCTURA F1-BT,1006694,Grapa Retencion 2/0 Awg A 4/0 Awg,1.0,UND,510.0,510.0
101,ESTRUCTURA F1-BT,1006840,"Perno Rosca Corrida Ac Galv 5/8"" X12""",1.0,UND,140.5,140.5
102,ESTRUCTURA F1-BT,1007099,"Tuerca D/Ojo Ac Galv P/Tornillo 5/8""",1.0,UND,94.0,94.0
103,ESTRUCTURA SUB-BT,1006236,AISLADOR PORC.TIPO CARRETE ANSI 53-2,1.0,UND,32.4,32.4
104,ESTRUCTURA SUB-BT,1006250,"ARAN PLAN CUA AC GALV 21/4""X21/4"" D 5/8""",1.0,UND,27.5,27.5
105,ESTRUCTURA SUB-BT,1006264,"ARANDELA PRESION ACERO GALV P/TORN 5/8""",1.0,UND,6.0,6.0
106,ESTRUCTURA SUB-BT,1006937,SOPORTE TIPO HORQILLAP/AISL T/CARRETE,1.0,UND,257.4,257.4
107,ESTRUCTURA SUB-BT,1007058,"TORNILLO HEX PAS AC GALV 5/8"" X 14""",1.0,UND,105.0,105.0
108,ESTRUCTURA SUB-BT,1006089,CONDUCTOR CU CONCENTRICO 10/3 AWG.,4.0,UND,,
109,ESTRUCTURA SUB-BT,1006250,"ARAN PLAN CUA AC GALV 21/4""X21/4"" D 5/8""",2.0,UND,27.5,55.0
110,ESTRUCTURA SUB-BT,1006264,"ARANDELA PRESION ACERO GALV P/TORN 5/8""",2.0,UND,6.0,12.0
111,ESTRUCTURA SUB-BT,1006323,BOMBILLO SODIO 150W,1.0,UND,485.0,485.0
112,ESTRUCTURA SUB-BT,1006336,BRAZO LAMP/ACERO GALVANIZADO 6',1.0,UND,2100.0,2100.0
113,ESTRUCTURA SUB-BT,1006366,CELULA FOTOELECTRICA 240V/1000W,1.0,UND,470.0,470.0
114,ESTRUCTURA SUB-BT,1006456,CONECTOR PERFORACION 1/0-4/0 AWG P-35,3.0,UND,109.25,327.75
115,ESTRUCTURA SUB-BT,1007057,"TORNILLO HEX PAS AC GALV 5/8"" X 12""",2.0,UND,93.5,187.0
