id,nombre,tipo
64,F4-BT    FINAL DE LINEA EN PINZA,ARMADO BT
65,F4-BT2   DOBLE ENCABECE CON PINZA,ARMADO BT
66,TE-MONT PINZA DE RETENCION DOBLE 6/3-8/2,ARMADO BT
67,F5-BT,ARMADO BT
68,TE-MONT DERIV BT (2/0-2/0) EN POSTE (DE-BT),ARMADO BT
69,TE-MONT DERIV BT (4/0-4/0) EN POSTE (DE-BT),ARMADO BT
70,TE-MONT JUMP AEREO P/TRIPLEX 2/0-2/0AWG,JUMPERS Y CONEXIONES
71,TE-MONT JUMP AEREO P/TRIPLEX 4/0-4/0AWG N 2/0,JUMPERS Y CONEXIONES
72,TE-MONT JUMP AEREO P/TRIPLEX 4/0-2/0AWG N 2/0,JUMPERS Y CONEXIONES
73,TE-MONT CONEX P/TRIPLEX 2/0-2/0AWG,JUMPERS Y CONEXIONES
74,TE-MONT CONEX P/TRIPLEX 4/0-4/0AWG,JUMPERS Y CONEXIONES
75,TE-MONT DE SUSP EN VOLADIZO PARA BT,ARMADO BT
76,TE-MONT PAT EN POSTE INTERIOR (PR-101) CON 14m DE COBRE,PROTECCIONES
77,TE-MONT PAT EN POSTE INTERIOR (PR-101) CON 12m DE COBRE,PROTECCIONES
78,TE-MONT PAT EN POSTE INTERIOR (PR-101) CON 10m DE COBRE,PROTECCIONES
79,TE-MONT DE PAT EN POSTE EXT (PR-102) CON 14m DE COBRE,PROTECCIONES
80,TE-MONT DE PAT EN POSTE EXT (PR-102) CON 12m DE COBRE,PROTECCIONES
81,TE-MONT DE PAT EN POSTE EXT (PR-102) CON 12m DE COBRE Flejado,PROTECCIONES
82,TE-MONT DE PAT EN POSTE EXT (PR-102) CON 10m DE COBRE,PROTECCIONES
83,TE-MONT PAT EN POSTE INTERIOR (PR-101) CON 14m DE ACERO COBREADO,PROTECCIONES
84,TE-MONT PAT EN POSTE INTERIOR (PR-101) CON 12m DE ACERO COBREADO,PROTECCIONES
85,TE-MONT PAT EN POSTE INTERIOR (PR-101) CON 10m DE ACERO COBREADO,PROTECCIONES
86,TE-MONT DE PAT EN POSTE EXT (PR-102) CON 14m DE ACERO COBREADO,PROTECCIONES
87,TE-MONT DE PAT EN POSTE EXT (PR-102) CON 12m DE ACERO COBREADO,PROTECCIONES
88,TE-MONT DE PAT EN POSTE EXT (PR-102) CON 10m DE ACERO COBREADO,PROTECCIONES
89,PT-101 4/0 (1 DV),PROTECCIONES
90,PT-101 2/0 (1 DV),PROTECCIONES
91,PT-101 4/0 (2 DV),PROTECCIONES
92,PT-101 2/0 (2 DV),PROTECCIONES
93,PT-101 4/0 (3 DV),PROTECCIONES
94,PT-101 2/0 (3 DV),PROTECCIONES
95,PT-101 4/0 (4 DV),PROTECCIONES
96,PT-101 2/0 (4 DV),PROTECCIONES
97,TE-MONT ATERR HERRAJES AL NEUTRO 4/0 [PT-101] SIN CU,PROTECCIONES
98,TE-MONT ATERR HERRAJES AL NEUTRO 2/0 [PT-101] SIN CU,PROTECCIONES
99,TE-MONT ATERR HERRAJES DE DOBLE TERNA AL NEUTRO 2/0 [PTLB-101] SIN CU,PROTECCIONES
100,TE-MONT ATERR HERRAJES AL NEUTRO 2/0 PT1-101 Ant. Frau,PROTECCIONES
101,TE-MONT ATERR HERRAJES AL NEUTRO 2/0 PT1-102 Ant. Frau,PROTECCIONES
102,TE-MONT ATERR HERRAJES AL NEUTRO 2/0 PT1-103 Ant. Frau,PROTECCIONES
103,TE-MONT ATERR HERRAJES AL NEUTRO 2/0 PT1-104 Ant. Frau,PROTECCIONES
104,TE-MONT ATERR HERRAJES AL NEUTRO 2/0 PT1-101 Ant. Frau SIN CU,PROTECCIONES
105,TE-MONT ATERR HERRAJES AL NEUTRO 2/0 PT1-102 Ant. Frau SIN CU,PROTECCIONES
106,TE-MONT ATERR HERRAJES AL NEUTRO 2/0 PT1-103 Ant. Frau SIN CU,PROTECCIONES
107,TE-MONT ATERR HERRAJES AL NEUTRO 2/0 PT1-104 Ant. Frau SIN CU,PROTECCIONES
108,TE-MONT PAT EN POSTE METALICO (POAC-101),PROTECCIONES
109,TE-MONT (HA - 100B),ANCLAJES
110,TE-MONT (HA - 100A),ANCLAJES
111,TE-MONT (HA - 100B) SIN TORNILLO DE SUJECCION EN POSTE,ANCLAJES
112,TE-MONT (HA - 100A) SIN TORNILLO DE SUJECCION EN POSTE,ANCLAJES
113,TE-MONT (HA - 106),ANCLAJES
114,TE-MONT (HA - 105),ANCLAJES
115,TE-MONT (HA - 107),ANCLAJES
116,TE-MONT (HA - 108),ANCLAJES
117,TE-MONT CABLE DE VIENTO (FV-BT),ANCLAJES
118,TE-MONT CABLE DE VIENTO (FV-MT),ANCLAJES
119,TE-MONT TUBO Y SOPORTE DE VIENTO VERTICAL CON CABLE DE ACERO (VV-MT + FV-MT),ANCLAJES
120,TE-MONT TUBO Y SOPORTE DE VIENTO VERTICAL (VV-MT),ANCLAJES
121,TE-MONT ANCLA SIMPLE (AN-S1),ANCLAJES
122,TE-MONT ANCLA DOBLE (AN-D1),ANCLAJES
123,"HA-100B (Cable de 1/2"")",ANCLAJES
124,"HA-105 (Cable de 1/2"")",ANCLAJES
125,"HA-108 (Cable de 1/2"" y 3/8"")",ANCLAJES
126,TE-MONT 1Ø ALIN ANG HASTA 5º (MT-101),ARMADOS TIPO PIN Y CAMPANA
127,TE-MONT 1Ø LINEA ANG (6-25º) (MT-102),ARMADOS TIPO PIN Y CAMPANA
128,TE-MONT 1Ø LN AG(26-60)(MT-103)(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA
129,TE-MONT 1Ø LINEA ANG (45-90º) (MT-104)(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA
130,TE-MONT 1Ø FIN LIN Nº (MT-105) (2/0-4/0),ARMADOS TIPO PIN Y CAMPANA
131,TE-MONT 1Ø FIN LIN Nº (MT-105) (336-477),ARMADOS TIPO PIN Y CAMPANA
132,TE-MONT 1Ø DOBL TERM Nº(MT-106)(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA
133,TE-MONT 1Ø DOBL TERM Nº(MT-106)(336-447),ARMADOS TIPO PIN Y CAMPANA
134,TE-MONT 1Ø ALIN EN VOLADIZO (MT-108),ARMADOS TIPO PIN Y CAMPANA
135,TE-MONT 1Ø VOLAD ANG(6-25º) (MT-109),ARMADOS TIPO PIN Y CAMPANA
136,TE-MONT 1Ø ALIN EN VOLADIZO (MT-108) CRUCETA 6',ARMADOS TIPO LINE POST Y POLIMERICO
137,TE-MONT 1Ø VOLAD ANG(6-25º) (MT-109) CRUCETA 6',ARMADOS TIPO LINE POST Y POLIMERICO
138,TE-MONT 3Ø ALIN CON ANG HASTA 5º(MT-301),ARMADOS TIPO PIN Y CAMPANA
139,TE-MONT 3Ø LIN ANG (6-25º)(MT-302),ARMADOS TIPO PIN Y CAMPANA
140,TE-MONT 3Ø ANG(61-90)Nº(MT-305)(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA
141,TE-MONT 3Ø ANG(61-90)Nº(MT-305)(2/0-4/0) C8,ARMADOS TIPO PIN Y CAMPANA
142,TE-MONT 3Ø ANG(61-90)Nº(MT-305)(336-477),ARMADOS TIPO PIN Y CAMPANA
143,TE-MONT 3Ø ANG(61-90)Nº(MT-305)(336-477) C8,ARMADOS TIPO PIN Y CAMPANA
144,TE-MONT 3Ø FIN LIN Nº (MT-307)(2/0-4/0) C6,ARMADOS TIPO PIN Y CAMPANA
145,TE-MONT 3Ø FIN LIN Nº (MT-307)(2/0-4/0) C8,ARMADOS TIPO PIN Y CAMPANA
146,TE-MONT 3Ø FIN LIN Nº (MT-307)(336-447) C6,ARMADOS TIPO PIN Y CAMPANA
147,TE-MONT 3Ø FIN LIN Nº (MT-307)(336-447) C8,ARMADOS TIPO PIN Y CAMPANA
148,TE-MONT 3Ø DOBL TERM Nº(MT-316)(2/0-4/0) C6,ARMADOS TIPO PIN Y CAMPANA
149,TE-MONT 3Ø DOBL TERM Nº(MT-316)(2/0-4/0) C8,ARMADOS TIPO PIN Y CAMPANA
150,TE-MONT 3Ø DOBL TERM Nº(MT-316)(2/0-4/0) C8 EA-MT (TERNA INFERIOR),ARMADOS TIPO PIN Y CAMPANA
